Designator,Mid X,Mid Y,Rotation,Layer
C1,173.1,-43.65,90.0,top
C10,46.85,-82.05,270.0,top
C11,43.85,-92.75,180.0,top
C12,53.6724,-97.195,90.0,top
C13,166.5,-100.225,0.0,top
C14,120.4,-96.45,270.0,top
C15,84.7,-214.1,270.0,top
C16,127.7112,-43.0476,90.0,top
C17,61.1,-98.8,180.0,top
C2,156.6,-40.4,270.0,top
C20,103.215,-129.39,180.0,top
C21,114.0,-136.95,180.0,top
C22,172.82,-133.725,0.0,top
C23,36.29,-153.05,180.0,top
C24,39.05,-157.475,180.0,top
C25,39.375,-162.2,180.0,top
C26,39.94,-166.425,180.0,top
C27,172.575,-164.6,0.0,top
C28,173.375,-178.3,0.0,top
C29,173.3,-168.7,0.0,top
C3,110.85,-104.7,270.0,top
C30,173.475,-174.9,0.0,top
C31,155.1,-174.775,270.0,top
C32,126.65,-171.05,180.0,top
C33,126.35,-190.3,180.0,top
C34,113.538,-201.462,270.0,top
C35,110.489334,-201.462,270.0,top
C36,107.440668,-201.462,270.0,top
C37,104.392002,-201.462,270.0,top
C38,66.9,-187.555,270.0,top
C39,63.2,-187.58,270.0,top
C4,112.6,-53.3,270.0,top
C40,139.25,-205.0,180.0,top
C41,148.2,-214.2,180.0,top
C43,140.95,-214.2,0.0,top
C44,162.93,-74.94,0.0,top
C45,47.7,-119.5,180.0,top
C46,36.5,-209.0,180.0,top
C47,46.65,-215.075,270.0,top
C5,162.975,-61.825,0.0,top
C52,36.2099,-115.8475,270.0,top
C6,149.5,-59.255,90.0,top
C7,129.125,-62.9,180.0,top
C8,115.3,-104.7,270.0,top
C9,78.2,-217.2,0.0,top
CI1,165.375,-44.285,180.0,top
CI2,148.885,-44.2556,180.0,top
CI3,119.93,-44.77,180.0,top
CI4,80.7215,-59.1065,270.0,top
CI5,151.4655,-86.2,270.0,top
CI6,98.49,-112.09,180.0,top
CI7,61.825,-111.705,180.0,top
CI8,145.115,-122.11,90.0,top
CI9,69.4355,-205.5545,0.0,top
CN1,102.415,-164.0735,270.0,top
D1,46.3699,-111.5,0.0,top
D2,45.9699,-115.2525,0.0,top
D3,155.2,-212.5,270.0,top
D4,161.0,-212.5,270.0,top
D5,84.79,-202.26,270.0,top
J10,44.425,-173.45,0.0,top
J11,41.85,-173.45,0.0,top
J13,47.0,-173.45,0.0,top
J14,47.0,-170.25,0.0,top
J15,44.425,-170.25,0.0,top
J16,41.85,-170.25,0.0,top
J17,113.56,-191.52,0.0,top
J18,102.03,-191.52,0.0,top
J19,110.6775,-191.52,0.0,top
J20,104.9125,-191.52,0.0,top
J21,107.795,-191.52,0.0,top
J22,61.93,-199.63,0.0,top
J23,61.47,-196.56,0.0,top
J24,61.43,-202.73,0.0,top
J25,54.3052,-152.2476,0.0,top
J26,54.3052,-127.3048,0.0,top
J27,40.0304,-122.3264,0.0,top
J28,115.6716,-172.0088,0.0,top
J29,116.1796,-196.5452,0.0,top
J3,164.1375,-174.0,0.0,top
J30,112.5982,-217.4748,0.0,top
J31,136.7028,-219.1766,0.0,top
J32,144.78,-63.754,0.0,top
J33,156.6164,-64.5668,0.0,top
J34,39.7256,-147.955,0.0,top
J4,161.125,-174.0,0.0,top
J6,167.15,-174.0,0.0,top
J7,167.15,-170.8,0.0,top
J8,164.1375,-170.8,0.0,top
J9,161.125,-170.8,0.0,top
L1,112.65,-128.45,0.0,top
L2,96.5862,-125.75,180.0,top
L3,91.48,-206.16,90.0,top
R1,166.65,-55.75,0.0,top
R10,102.15,-42.45,0.0,top
R11,103.237,-46.2,180.0,top
R12,85.45,-35.9,0.0,top
R13,57.25,-78.8,0.0,top
R14,65.55,-35.95,180.0,top
R16,111.2,-94.05,0.0,top
R17,167.125,-105.7,0.0,top
R18,112.425,-120.05,180.0,top
R2,156.6,-55.55,270.0,top
R20,83.5174,-105.45,180.0,top
R21,83.5174,-109.25,180.0,top
R22,83.52,-112.98,180.0,top
R23,83.51,-116.73,180.0,top
R24,83.5,-120.48,0.0,top
R25,73.4,-114.27,90.0,top
R26,69.54,-114.27,90.0,top
R27,85.7,-42.45,180.0,top
R28,56.85,-83.75,0.0,top
R29,56.9,-88.6,180.0,top
R3,141.4,-40.3,270.0,top
R32,51.78,-123.49,0.0,top
R33,68.2774,-123.65,0.0,top
R34,100.1,-133.05,180.0,top
R35,92.2,-130.55,180.0,top
R36,43.18,-130.05,300.0,top
R37,36.25,-141.5,270.0,top
R38,140.3,-173.0,180.0,top
R39,158.625,-187.35,270.0,top
R4,136.9,-55.8,270.0,top
R40,81.6,-203.68,270.0,top
R41,78.5,-208.3,270.0,top
R42,57.0,-210.0,0.0,top
R43,56.3,-213.4,0.0,top
R44,56.0,-216.5,0.0,top
R5,141.3,-57.4,270.0,top
R6,131.9,-34.8,180.0,top
R61,112.6,-40.6,270.0,top
R7,125.35,-58.5,0.0,top
R8,33.4,-88.6,270.0,top
R9,101.95,-35.9,180.0,top
RV1,175.175,-78.025,270.0,top
RV2,41.44,-103.38,0.0,top
SW1,103.57,-215.34,270.0,top
T1,134.43,-41.56,90.0,top
T2,109.84,-115.4546,0.0,top
T3,69.24,-217.2,0.0,top
TP1,40.5,-199.74,0.0,top
TP2,43.56,-202.61,0.0,top
U1,143.9,-218.3,180.0,top
Y1,72.0799,-99.06,0.0,top
